규격: ㄱㅠㄱㅕㄱ
규명: ㄱㅠㅁㅕㅇ
규범: ㄱㅠㅂㅓㅁ
규약: ㄱㅠㅇㅑㄱ
규율: ㄱㅠㅇㅠㄹ
규정: ㄱㅠㅈㅓㅇ
규제: ㄱㅠㅈㅓㅣ
규칙: ㄱㅠㅊㅣㄱ
규탄: ㄱㅠㅌㅏㄴ
규합: ㄱㅠㅎㅏㅂ
그간: ㄱㅡㄱㅏㄴ
그날: ㄱㅡㄴㅏㄹ
그네: ㄱㅡㄴㅓㅣ
그늘: ㄱㅡㄴㅡㄹ
그담: ㄱㅡㄷㅏㅁ
그룹: ㄱㅡㄹㅜㅂ
그릇: ㄱㅡㄹㅡㅅ
그릴: ㄱㅡㄹㅣㄹ
그림: ㄱㅡㄹㅣㅁ
그물: ㄱㅡㅁㅜㄹ
그믐: ㄱㅡㅁㅡㅁ
그새: ㄱㅡㅅㅏㅣ
그전: ㄱㅡㅈㅓㄴ
그제: ㄱㅡㅈㅓㅣ
그중: ㄱㅡㅈㅜㅇ
그해: ㄱㅡㅎㅏㅣ
극기: ㄱㅡㄱㄱㅣ
극도: ㄱㅡㄱㄷㅗ
극비: ㄱㅡㄱㅂㅣ
극소: ㄱㅡㄱㅅㅗ
극우: ㄱㅡㄱㅇㅜ
극치: ㄱㅡㄱㅊㅣ
근거: ㄱㅡㄴㄱㅓ
근교: ㄱㅡㄴㄱㅛ
근로: ㄱㅡㄴㄹㅗ
근무: ㄱㅡㄴㅁㅜ
근수: ㄱㅡㄴㅅㅜ
근시: ㄱㅡㄴㅅㅣ
근저: ㄱㅡㄴㅈㅓ
근조: ㄱㅡㄴㅈㅗ
근처: ㄱㅡㄴㅊㅓ
글자: ㄱㅡㄹㅈㅏ
글피: ㄱㅡㄹㅍㅣ
금고: ㄱㅡㅁㄱㅗ
금기: ㄱㅡㅁㄱㅣ
금녀: ㄱㅡㅁㄴㅕ
금니: ㄱㅡㅁㄴㅣ
금리: ㄱㅡㅁㄹㅣ
금서: ㄱㅡㅁㅅㅓ
금수: ㄱㅡㅁㅅㅜ
금주: ㄱㅡㅁㅈㅜ
금지: ㄱㅡㅁㅈㅣ
급료: ㄱㅡㅂㄹㅛ
급류: ㄱㅡㅂㄹㅠ
급보: ㄱㅡㅂㅂㅗ
급사: ㄱㅡㅂㅅㅏ
급서: ㄱㅡㅂㅅㅓ
급소: ㄱㅡㅂㅅㅗ
급수: ㄱㅡㅂㅅㅜ
급여: ㄱㅡㅂㅇㅕ
급우: ㄱㅡㅂㅇㅜ
급유: ㄱㅡㅂㅇㅠ
급조: ㄱㅡㅂㅈㅗ
급파: ㄱㅡㅂㅍㅏ
긍지: ㄱㅡㅇㅈㅣ
기각: ㄱㅣㄱㅏㄱ
기간: ㄱㅣㄱㅏㄴ
기갈: ㄱㅣㄱㅏㄹ
기강: ㄱㅣㄱㅏㅇ
기개: ㄱㅣㄱㅏㅣ
기겁: ㄱㅣㄱㅓㅂ
기계: ㄱㅣㄱㅕㅣ
기골: ㄱㅣㄱㅗㄹ
기공: ㄱㅣㄱㅗㅇ
기근: ㄱㅣㄱㅡㄴ
기금: ㄱㅣㄱㅡㅁ
기내: ㄱㅣㄴㅏㅣ
기념: ㄱㅣㄴㅕㅁ
기능: ㄱㅣㄴㅡㅇ
기대: ㄱㅣㄷㅏㅣ
기동: ㄱㅣㄷㅗㅇ
기둥: ㄱㅣㄷㅜㅇ
기량: ㄱㅣㄹㅑㅇ
기력: ㄱㅣㄹㅕㄱ
기록: ㄱㅣㄹㅗㄱ
기뢰: ㄱㅣㄹㅗㅣ
기름: ㄱㅣㄹㅡㅁ
기린: ㄱㅣㄹㅣㄴ
기립: ㄱㅣㄹㅣㅂ
기만: ㄱㅣㅁㅏㄴ
기말: ㄱㅣㅁㅏㄹ
기물: ㄱㅣㅁㅜㄹ
기밀: ㄱㅣㅁㅣㄹ
기반: ㄱㅣㅂㅏㄴ
기법: ㄱㅣㅂㅓㅂ
기벽: ㄱㅣㅂㅕㄱ
기별: ㄱㅣㅂㅕㄹ
기병: ㄱㅣㅂㅕㅇ
기복: ㄱㅣㅂㅗㄱ
기본: ㄱㅣㅂㅗㄴ
기분: ㄱㅣㅂㅜㄴ
기상: ㄱㅣㅅㅏㅇ
기선: ㄱㅣㅅㅓㄴ
기성: ㄱㅣㅅㅓㅇ
기세: ㄱㅣㅅㅓㅣ
기술: ㄱㅣㅅㅜㄹ
기습: ㄱㅣㅅㅡㅂ
기승: ㄱㅣㅅㅡㅇ
기실: ㄱㅣㅅㅣㄹ
기악: ㄱㅣㅇㅏㄱ
기안: ㄱㅣㅇㅏㄴ
기암: ㄱㅣㅇㅏㅁ
