경애: ㄱㅕㅇㅇㅏㅣ
경연: ㄱㅕㅇㅇㅕㄴ
경영: ㄱㅕㅇㅇㅕㅇ
경외: ㄱㅕㅇㅇㅗㅣ
경위: ㄱㅕㅇㅇㅜㅣ
경음: ㄱㅕㅇㅇㅡㅁ
경의: ㄱㅕㅇㅇㅡㅣ
경작: ㄱㅕㅇㅈㅏㄱ
경장: ㄱㅕㅇㅈㅏㅇ
경적: ㄱㅕㅇㅈㅓㄱ
경전: ㄱㅕㅇㅈㅓㄴ
경제: ㄱㅕㅇㅈㅓㅣ
경종: ㄱㅕㅇㅈㅗㅇ
경중: ㄱㅕㅇㅈㅜㅇ
경증: ㄱㅕㅇㅈㅡㅇ
경직: ㄱㅕㅇㅈㅣㄱ
경진: ㄱㅕㅇㅈㅣㄴ
경질: ㄱㅕㅇㅈㅣㄹ
경찰: ㄱㅕㅇㅊㅏㄹ
경청: ㄱㅕㅇㅊㅓㅇ
경축: ㄱㅕㅇㅊㅜㄱ
경칩: ㄱㅕㅇㅊㅣㅂ
경칭: ㄱㅕㅇㅊㅣㅇ
경탄: ㄱㅕㅇㅌㅏㄴ
경판: ㄱㅕㅇㅍㅏㄴ
경품: ㄱㅕㅇㅍㅜㅁ
경합: ㄱㅕㅇㅎㅏㅂ
경향: ㄱㅕㅇㅎㅑㅇ
경험: ㄱㅕㅇㅎㅓㅁ
경혈: ㄱㅕㅇㅎㅕㄹ
경협: ㄱㅕㅇㅎㅕㅂ
경화: ㄱㅕㅇㅎㅗㅏ
곁길: ㄱㅕㅌㄱㅣㄹ
곁눈: ㄱㅕㅌㄴㅜㄴ
계간: ㄱㅕㅣㄱㅏㄴ
계곡: ㄱㅕㅣㄱㅗㄱ
계급: ㄱㅕㅣㄱㅡㅂ
계단: ㄱㅕㅣㄷㅏㄴ
계란: ㄱㅕㅣㄹㅏㄴ
계략: ㄱㅕㅣㄹㅑㄱ
계량: ㄱㅕㅣㄹㅑㅇ
계명: ㄱㅕㅣㅁㅕㅇ
계몽: ㄱㅕㅣㅁㅗㅇ
계발: ㄱㅕㅣㅂㅏㄹ
계산: ㄱㅕㅣㅅㅏㄴ
계속: ㄱㅕㅣㅅㅗㄱ
계승: ㄱㅕㅣㅅㅡㅇ
계약: ㄱㅕㅣㅇㅑㄱ
계엄: ㄱㅕㅣㅇㅓㅁ
계열: ㄱㅕㅣㅇㅕㄹ
계율: ㄱㅕㅣㅇㅠㄹ
계장: ㄱㅕㅣㅈㅏㅇ
계절: ㄱㅕㅣㅈㅓㄹ
계제: ㄱㅕㅣㅈㅓㅣ
계좌: ㄱㅕㅣㅈㅗㅏ
계집: ㄱㅕㅣㅈㅣㅂ
계측: ㄱㅕㅣㅊㅡㄱ
계층: ㄱㅕㅣㅊㅡㅇ
계통: ㄱㅕㅣㅌㅗㅇ
고객: ㄱㅗㄱㅏㅣㄱ
고관: ㄱㅗㄱㅗㅏㄴ
고깔: ㄱㅗㄱㄱㅏㄹ
고백: ㄱㅗㅂㅏㅣㄱ
고색: ㄱㅗㅅㅏㅣㄱ
고생: ㄱㅗㅅㅏㅣㅇ
고액: ㄱㅗㅇㅏㅣㄱ
고원: ㄱㅗㅇㅜㅓㄴ
고쯤: ㄱㅗㅈㅈㅡㅁ
고행: ㄱㅗㅎㅏㅣㅇ
고환: ㄱㅗㅎㅗㅏㄴ
곡면: ㄱㅗㄱㅁㅕㄴ
곡명: ㄱㅗㄱㅁㅕㅇ
곡목: ㄱㅗㄱㅁㅗㄱ
곡물: ㄱㅗㄱㅁㅜㄹ
곡선: ㄱㅗㄱㅅㅓㄴ
곡성: ㄱㅗㄱㅅㅓㅇ
곡식: ㄱㅗㄱㅅㅣㄱ
곡예: ㄱㅗㄱㅇㅕㅣ
